Département,EPCI/EPT (sigle),Nom complet,Code EPCI,Type,Population,Adresse,Version,Etat,"Mise-à-
jour",Dernier contact,Point d'avancement,Référent technique,Référent élu,AMO,Accompagnement syndicat d'énergie,"Accompagnement
Cytergie",CPER,Délai légal de réalisation,"Restitution du bilan QA
(DL 01/02/2021)",Adoption du PAR,Commentaire et planification,PHASE DE LANCEMENT,Délibération de lancement,PHASE DE CONCERTATION PREALABLE,"Notification
(réception)",Porté à connaissance,PHASE ELABORATION DU DIAGNOSTIC,PHASE DEFINITION DE LA STRATEGIE,PHASE CREATION DU PLAN D'ACTIONS,Projet de plan,"Avis Ae
(réception)","Avis État
ou MGP
(réception)","Avis Ae
(émission)","Avis État
(émission)",PHASE DE CONSULTATION DU PUBLIC,Adoption du plan,Publication territoire et climat,Lien plateforme nationale,Lien site internet collectivité,Projet de territoire,SCoT,PLUi,PLD,PLH,Schéma directeur des réseaux de chaleur,CTE,Autre
75,75-Paris,Commune de Paris (T1),200054781,EPT,2244000,non connu,,Adopté,20/06/19,,,"M. Yann FRANÇOISE
yann.francoise@paris.fr",non connu,non connu,aucun,2016,,01/01/2021,sans information,sans information,,s.o.,n.c.,s.o.,24/10/16,s.o.,réalisé,réalisé,réalisé,24/11/17,12/09/17,02/02/18,12/12/17,s.o.,réalisé,22/03/18,,,,,"planifié
avec MGP",,,,,,"Lauréat AMI ""Santé, Environnement, Aménagement"" (2019)"
77,77-CACPB,CA Coulomiers-Pays-de-Brie,200077055,CA,90000,"Communauté d'agglomération
Coulommiers-Pays-de-Brie
13, rue du Général de Gaulle
77120 Coulommiers",1,Notifié,24/03/20,28/02/20,,"Mme Valérie RAMBEAU
Directrice générale des services
01 64 75 80 07
d.g.s@coulommiers.fr",non connu,non connu,SDESM,aucun,"€89 399,00",01/01/2022,sans information,sans information,,non connu,27/09/2018,planifié,28/02/20,élaboration en cours,"planifié
2019/S1 : début de la phase de diagnostic",,,,,,,,,,,,,,planifié,,,"planifié
élaboration en parrallèle du PCAET",,,
77,77-CAMG,CA Marne-et-Gondoire,247700594,CA,93000,"Communauté d’agglomération de Marne-et-Gondoire
Domaine de Rentilly
1, rue de l’étang
CS20069 Bussy-Saint-Martin
77603 Marne-la-Vallée cedex 3",,Adopté,22/03/21,26/3/20,,"Mme Magali BERTON
01 60 35 46 87
M. Quentin REVERT
(01 64 77 36 13) ???
quentin.revert@marneetgondoire.fr","Monsieur Thibaud GUILLEMET
Vice-Président en charge de la transition énergétique","B&L évolution
 ETHIK PRESSE",SDESM,aucun,,01/01/2021,sans information,sans information,,"24/05/2018 : Séminaire de lancement
22/11/2018 : journée de sensibilisation
04/12/2018 : présentation de la démarche aux acteurs",20/02/2018,"02/04/2018 : déclaration intention
21/02/2019 : soirée de lancement
04-08/03/2019 : atelier
14/03/2019 : atelier ""club-climat""
16,23,28/05,4,11/06/2019 : ateliers ""club-climat""
13/09/2019 : atelier ""biodiversité et climat""",20/02/18,18/05/18,19/10/2018 : Présentation synthèse du diagnostic,11/04/2019 : COPIL présentation stratégie,2019/6 : COPIL présentation programme action,03/02/2020,26/03/20,26/03/20,élaboration en cours,31/7/20,,"planifié
2020/2 : adoption",,, http://www.planclimat-marneetgondoire.fr/index.php,pas envisagé,"planifié
en cours de révision",pas envisagé,PLD du SIT applicable à Marne et Gondoire (2008),"planifié
en cours de révision",pas envisagé,"planifié
09/07/2019 : lauréat
10/09/2019 : Réunion lancement","- Plan de Protection des espaces agricoles et naturels peri-urbain (PPEANP) : http://www.marneetgondoire.fr/protection-des-espaces/le-ppeanp-192.htm
- Contrat de Transition Écologique (projet) : devrait être signé le 2 juillet 2019"
77,77-CAMVS,CA Melun-Val-de-Seine,247700057,CA,127000,"Communauté d'Agglomération Melun-Val-de-Seine
297, rue Rousseau Vaudran
CS 30187
77198 Dammarie-lès-Lys CEDEX",,"Adopté
(pré-LTECV)",23/11/20,20/11/20,"Départ de Nelly NOBOUSSIE (20/11/20)

Evaluation environnementale prévu en 2021","Sandra DEL RIO
Responsable de Service Aménagement Durable
(par intérim)
01 78 49 96 08
06 79 16 60 81
sandra.del-rio@camvs.com",non connu,non connu,non connu,2019,,01/01/2021,sans information,sans information,,s.o.,n.c.,s.o.,2015/janvier,s.o.,s.o.,s.o.,s.o.,s.o.,s.o.,25/04/16,s.o.,tacite,s.o.,2017/décembre,,,http://www.melunvaldeseine.fr/L-Agglo-en-actions/Developpement-Durable/Plan-Climat-Air-Energie-Territorial-PCAET/Etapes-du-plan-climat,,,,,,,,
77,77-CAPF,CA Pays-de-Fontainebleau,200072346,CA,68212,"Communauté d'agglomération du Pays-de-Fontainebleau
44, rue du Château
77300 Fontainebleau",,Consultation,07/12/20,07/12/20,Adoption du PCAET prévu le 10/12/20,"Chau NGUYEN
chargee.environnement@pays-fontainebleau.fr ",non connu,ALGOE/GB,non connu,non connu,"€150 000,00",01/01/2022,sans information,sans information,,"15/03/2018 signature convention CAPF, CCPM, CCPN
12/02/2019 : Séminaire 'Inventons le territoire bas-carbone'",15/03/2018,19/09/2018 : déclaration d’intention,15/02/18,via P77,"25/03 & 30/04/2019 COTECH
07/06/2019 : COPIL","réalisé
","réalisé
",03/02/20,16/03/20,03/02/20,élaboration en cours,13/5/20,,,,,,,,,planifié,planifié,,,
77,77-CAPM,CA Pays-de-Meaux,200072130,CA,101000,"Communauté d'agglomération du Pays-de-Meaux
Hotel de Ville
77100 MEAUX",,Gestation,25/03/20,24/03/20,,"Mme Caroline JAROSZEK
01 60 09 98 27
caroline.jaroszek@meaux.fr",non connu,ARTELIA,non connu,non connu,"€150 000,00",01/01/2021,sans information,sans information,,,21/09/2018,,,,,,,,,,,,,,,,,,,,,planifié,,,
77,77-CAPVM,CA Paris-Vallée-de-la-Marne,200057958,CA,225706,"Communauté d'Agglomération Paris -Vallée de la Marne
5, cours de l'Arche Guédon à Torcy 
77207 Marne-la-Vallée Cedex 1",,Adopté,30/09/21,27/08/19,,"M. Elric PLANCHAIS
01 72 84 62 11
e.planchais@agglo-pvm.fr","Mme Colette BOISSOT
(élue au développement durable)
",INDDIGO,SIGEIF,2017,"€226 906,00",01/01/2021,sans information,sans information,,17/10/2018 : séminaire CDTE,12/04/2017,"déclaration d'intention en ligne
plaquette de communication grand public
questionnaire en ligne",08/10/2018,s.o.,"20/02/2019 : COTECH Diagnostic
17/05/2019 : Présentation du diagnostic","27/05/2019 : Atelier stratégie
27/06/2019 : COPIL Stratégie","planifié
16/19/2019 : Atelier adaptation au changement-climatique
07/10/2019 : Atelier exemplarité de la CAPVM
07/10/2019 : Atelier réseaux d'énergies et EnR
21/10/2019 : Atelier mobilité
21/10/2019 : Atelier habitat
14/11/2019 : COTECH restitution",,,,,,,,,,,,,,,,,,
77,77-CAVEA,CA Val-d'Europe-Agglomération,247700339,CA,30732,"Val d'Europe Agglomération
Château de Chessy
BP-40 Chessy
77701 Marne-la-Vallées cedex 4",,Consultation,24/03/20,04/09/19,,"Vassilia BUCAN
Pôle qualité urbaine
Chargé du plan climat
planclimat@vdeagglo.fr","Mme Peggy PHARISIEN
Vice-président à la Transition écologique",E6,non connu,non,"€100 000,00",01/01/2021,sans information,sans information,,"09/11/2017 : Rencontre DDT-77
09/03/2018 : réunion de lancement",21/09/2017,"planifié
20/09/2019 : Atelier consommations et déchets
21/09/2019 : Atelier énergies renouvelables
27/09/2019 : Atelier urbanisme
04/10/2019 : Atelier mobilité
05/10/2019 : Atelier habitat
05/10/2019 : Atelier agriculture et forêt",23/10/19,02/01/2020,"2018, mars-décembre
29/11/2018 : Atelier de présentation du diagnostic","2019, janvier à mai
27/09/2019 : Atelier inter-entreprises","planifié
2019, septembre à novembre","planifié
2019, décembre",,,,,,,,,,,"planifié
", https://www.valdeuropeagglo.fr/plui-et-reglement-de-publicite/,, https://www.valdeuropeagglo.fr/plui-et-reglement-de-publicite/,,,
77,77-CCBM,CC Bassée-Montois,200040251,CC,24000,"Communauté de communes 
Bassée-Montois
12 rue Joseph Bara
77480 Bray-sur-Seine",1,Notifié,26/07/19,15/04/19,,asenechal-ccbasseemontois@orange.fr,non connu,non connu,non connu,non connu,"€75 000,00",01/01/2022,sans information,sans information,,réalisé,28/03/2019,"planifié
- réunion de GT avec les acteurs
- 2 réunions publiques
- concertation en ligne",25/04/19,s.o.,planifié,planifié,planifié,,,,,,,,,,,,"planifié
avec CCP",,,,,,
77,77-CCBN,CC Brie-Nangicienne,247700701,CC,27171,"Communauté de communes
de la Brie Nangicienne
4, rue René Cassin
77370 Nangis",,Notifié,13/08/19,,,non connu,non connu,non connu,SDESM,non connu,"€82 050,00",01/01/2022,sans information,sans information,,16/03/2019 : séminaire CDTE,non connu,non connu,12/09/18,via P77,"planifié
en cours",,,,,,,,,,,,,,,,,,,,
