annee,consommation ,consommation_normale ,energie ,epci,nom_epci ,secteur
2005,2 520,2 520,ELEC,200054781,Bassée-Montois,AGR
2005,2 810,2 810,GN,200054781,Bassée-Montois,AGR
2005,20 620,20 620,PP+CMS,200054781,Bassée-Montois,AGR
2005,17 210,17 210,ELEC,200054781,Bassée-Montois,IND
2005,26 980,26 980,GN,200054781,Bassée-Montois,IND
2005,3 430,3 430,PP+CMS,200054781,Bassée-Montois,IND
2005,35 770,34 720,BOIS,200054781,Bassée-Montois,RES
2005,79 560,78 890,ELEC,200054781,Bassée-Montois,RES
2005,52 230,51 030,GN,200054781,Bassée-Montois,RES
2005,81 450,79 310,PP+CMS,200054781,Bassée-Montois,RES
2005,25 560,25 450,ELEC,200054781,Bassée-Montois,TER
2005,11 770,11 500,GN,200054781,Bassée-Montois,TER
2005,3 990,3 900,PP+CMS,200054781,Bassée-Montois,TER
2005,67 410,67 410,PP+CMS,200054781,Bassée-Montois,TRAF
2005,1 040,1 040,ELEC,200054781,Boucle Nord de Seine,AGR
2005,450,450,PP+CMS,200054781,Boucle Nord de Seine,AGR
2005,460 180,460 180,ELEC,200054781,Boucle Nord de Seine,IND
2005,1 071 690,1 071 690,GN,200054781,Boucle Nord de Seine,IND
2005,50 040,50 040,PP+CMS,200054781,Boucle Nord de Seine,IND
2005,46 980,46 980,URB,200054781,Boucle Nord de Seine,IND
2005,59 320,58 190,BOIS,200054781,Boucle Nord de Seine,RES
2005,651 170,647 970,ELEC,200054781,Boucle Nord de Seine,RES
2005,1 536 190,1 513 970,GN,200054781,Boucle Nord de Seine,RES
2005,401 160,395 100,PP+CMS,200054781,Boucle Nord de Seine,RES
2005,410 980,405 220,URB,200054781,Boucle Nord de Seine,RES
2005,896 100,893 740,ELEC,200023125,Boucle Nord de Seine,TER
2005,553 110,544 930,GN,200023125,Boucle Nord de Seine,TER
2005,142 670,140 710,PP+CMS,200023125,Boucle Nord de Seine,TER
2005,111 510,109 930,URB,200023125,Boucle Nord de Seine,TER
2005,1 273 450,1 273 450,PP+CMS,200023125,Boucle Nord de Seine,TRAF
2005,3 700,3 700,ELEC,200023125,Brie des Rivières et Châteaux,AGR
2005,2 160,2 160,GN,200023125,Brie des Rivières et Châteaux,AGR
2005,26 620,26 620,PP+CMS,200023125,Brie des Rivières et Châteaux,AGR
2005,62 210,62 210,ELEC,200023125,Brie des Rivières et Châteaux,IND
2005,25 520,25 520,GN,200023125,Brie des Rivières et Châteaux,IND
2005,2 850,2 850,PP+CMS,200023125,Brie des Rivières et Châteaux,IND
2005,37 690,36 590,BOIS,200023125,Brie des Rivières et Châteaux,RES
2005,117 100,116 030,ELEC,200023125,Brie des Rivières et Châteaux,RES
2005,130 490,127 440,GN,200023125,Brie des Rivières et Châteaux,RES
2005,74 240,72 330,PP+CMS,200023125,Brie des Rivières et Châteaux,RES
2005,41 220,41 040,ELEC,200023125,Brie des Rivières et Châteaux,TER
2005,16 620,16 250,GN,200023125,Brie des Rivières et Châteaux,TER
2005,4 460,4 360,PP+CMS,200023125,Brie des Rivières et Châteaux,TER
2005,621 890,621 890,PP+CMS,200023125,Brie des Rivières et Châteaux,TRAF
2005,2 900,2 900,ELEC,200023125,Brie Nangissienne,AGR
2005,1 700,1 700,GN,200023125,Brie Nangissienne,AGR
2005,17 380,17 380,PP+CMS,200023125,Brie Nangissienne,AGR
2005,380,380,BOIS,200023125,Brie Nangissienne,IND
2005,444 950,444 950,ELEC,200023125,Brie Nangissienne,IND
2005,4 645 760,4 645 760,GN,200023125,Brie Nangissienne,IND
2005,19 890,19 890,PP+CMS,200023240,Brie Nangissienne,IND
2005,26 800,26 020,BOIS,200023240,Brie Nangissienne,RES
2005,72 280,71 650,ELEC,200023240,Brie Nangissienne,RES
2005,82 120,80 200,GN,200023240,Brie Nangissienne,RES
2005,50 740,49 430,PP+CMS,200023240,Brie Nangissienne,RES
2005,35 890,35 740,ELEC,200023240,Brie Nangissienne,TER
2005,36 430,35 590,GN,200023240,Brie Nangissienne,TER
2005,6 760,6 610,PP+CMS,200023240,Brie Nangissienne,TER
2005,126 950,126 950,PP+CMS,200023240,Brie Nangissienne,TRAF
2005,3 600,3 600,BOIS,200023240,Carnelle Pays-De-France,AGR
2005,210,210,ELEC,200023240,Carnelle Pays-De-France,AGR
2005,2 270,2 270,GN,200023240,Carnelle Pays-De-France,AGR
2005,7 560,7 560,PP+CMS,200023240,Carnelle Pays-De-France,AGR
2005,9 630,9 630,ELEC,200023240,Carnelle Pays-De-France,IND
2005,290,290,GN,200023240,Carnelle Pays-De-France,IND
2005,490,490,PP+CMS,200023240,Carnelle Pays-De-France,IND
2005,17 740,17 340,BOIS,200023240,Carnelle Pays-De-France,RES
2005,92 370,91 750,ELEC,200023240,Carnelle Pays-De-France,RES
2005,151 890,149 120,GN,200023240,Carnelle Pays-De-France,RES
2005,47 670,46 740,PP+CMS,200023240,Carnelle Pays-De-France,RES
2005,57 290,57 110,ELEC,200023240,Carnelle Pays-De-France,TER
2005,22 540,22 160,GN,200023240,Carnelle Pays-De-France,TER
2005,8 910,8 760,PP+CMS,200023240,Carnelle Pays-De-France,TER
2005,212 640,212 640,PP+CMS,200023240,Carnelle Pays-De-France,TRAF
2005,1 220,1 220,ELEC,200023240,Cergy-Pontoise,AGR
2005,390,390,GN,200023919,Cergy-Pontoise,AGR
2005,8 120,8 120,PP+CMS,200023919,Cergy-Pontoise,AGR
2005,169 730,169 730,ELEC,200023919,Cergy-Pontoise,IND
2005,213 980,213 980,GN,200023919,Cergy-Pontoise,IND
2005,27 430,27 430,PP+CMS,200023919,Cergy-Pontoise,IND
2005,54 670,53 450,BOIS,200023919,Cergy-Pontoise,RES
2005,410 680,407 930,ELEC,200023919,Cergy-Pontoise,RES
2005,554 950,545 310,GN,200023919,Cergy-Pontoise,RES
2005,102 240,100 520,PP+CMS,200023919,Cergy-Pontoise,RES
2005,243 330,239 010,URB,200023919,Cergy-Pontoise,RES
2005,452 610,451 120,ELEC,200023919,Cergy-Pontoise,TER
2005,272 810,267 990,GN,200023919,Cergy-Pontoise,TER
2005,94 840,93 190,PP+CMS,200023919,Cergy-Pontoise,TER
2005,141 150,138 560,URB,200023919,Cergy-Pontoise,TER
2005,912 910,912 910,PP+CMS,200023919,Cergy-Pontoise,TRAF
2005,1 950,1 950,ELEC,200023919,Cœur d'Essonne Agglomération,AGR
2005,12 100,12 100,GN,200023919,Cœur d'Essonne Agglomération,AGR
2005,6 680,6 680,PP+CMS,200023919,Cœur d'Essonne Agglomération,AGR
2005,92 200,92 200,ELEC,200023919,Cœur d'Essonne Agglomération,IND
2005,308 550,308 550,GN,200023919,Cœur d'Essonne Agglomération,IND
2005,7 360,7 360,PP+CMS,200023919,Cœur d'Essonne Agglomération,IND
2005,9 800,9 800,URB,200023919,Cœur d'Essonne Agglomération,IND
2005,87 960,86 410,BOIS,200023919,Cœur d'Essonne Agglomération,RES
