,annee,consommation,consommation_normale,energie,epci,nom_epci,secteur
0,2005,16199.659999999994,16199.659999999994,ELEC,200054781,Métropole du Grand Paris,AGR
1,2005,17767.949999999997,17767.949999999997,PP_CMS,200054781,Métropole du Grand Paris,AGR
2,2005,0.0,0.0,URB,200054781,Métropole du Grand Paris,AGR
3,2005,0.0,0.0,BOIS,200054781,Métropole du Grand Paris,AGR
4,2005,55991.64999999999,55991.64999999999,GN,200054781,Métropole du Grand Paris,AGR
5,2005,3198125.9699999993,3198125.9699999993,ELEC,200054781,Métropole du Grand Paris,IND
6,2005,707792.8400000005,707792.8400000005,PP_CMS,200054781,Métropole du Grand Paris,IND
7,2005,319737.3500000002,319737.3500000002,URB,200054781,Métropole du Grand Paris,IND
8,2005,0.0,0.0,BOIS,200054781,Métropole du Grand Paris,IND
9,2005,12876573.189999998,12876573.189999998,GN,200054781,Métropole du Grand Paris,IND
10,2005,17792954.989999987,17996949.029999994,ELEC,200054781,Métropole du Grand Paris,RES
11,2005,6504602.3999999985,6735322.789999998,PP_CMS,200054781,Métropole du Grand Paris,RES
12,2005,4986056.359999999,5135228.490000001,URB,200054781,Métropole du Grand Paris,RES
13,2005,1139887.2800000003,1192570.78,BOIS,200054781,Métropole du Grand Paris,RES
14,2005,29908339.449999988,30902412.84,GN,200054781,Métropole du Grand Paris,RES
15,2005,13557001.610000001,13633491.98000001,ELEC,200054781,Métropole du Grand Paris,TER
16,2005,3284161.440000001,3380054.5399999996,PP_CMS,200054781,Métropole du Grand Paris,TER
17,2005,4150201.200000001,4261117.879999999,URB,200054781,Métropole du Grand Paris,TER
18,2005,0.0,0.0,BOIS,200054781,Métropole du Grand Paris,TER
19,2005,7883523.560000001,8175872.760000004,GN,200054781,Métropole du Grand Paris,TER
20,2005,0.0,0.0,ELEC,200054781,Métropole du Grand Paris,TRAF
21,2005,22528133.79000001,22528133.79000001,PP_CMS,200054781,Métropole du Grand Paris,TRAF
22,2005,0.0,0.0,URB,200054781,Métropole du Grand Paris,TRAF
23,2005,0.0,0.0,BOIS,200054781,Métropole du Grand Paris,TRAF
24,2005,0.0,0.0,GN,200054781,Métropole du Grand Paris,TRAF
25,2005,465.98,465.98,ELEC,200023125,CC Les Portes Briardes entre Villes et Forêts,AGR
26,2005,2368.7499999999995,2368.7499999999995,PP_CMS,200023125,CC Les Portes Briardes entre Villes et Forêts,AGR
27,2005,0.0,0.0,URB,200023125,CC Les Portes Briardes entre Villes et Forêts,AGR
28,2005,0.0,0.0,BOIS,200023125,CC Les Portes Briardes entre Villes et Forêts,AGR
29,2005,0.0,0.0,GN,200023125,CC Les Portes Briardes entre Villes et Forêts,AGR
30,2005,44695.479999999996,44695.479999999996,ELEC,200023125,CC Les Portes Briardes entre Villes et Forêts,IND
31,2005,3659.04,3659.04,PP_CMS,200023125,CC Les Portes Briardes entre Villes et Forêts,IND
32,2005,0.0,0.0,URB,200023125,CC Les Portes Briardes entre Villes et Forêts,IND
33,2005,0.0,0.0,BOIS,200023125,CC Les Portes Briardes entre Villes et Forêts,IND
34,2005,68334.38,68334.38,GN,200023125,CC Les Portes Briardes entre Villes et Forêts,IND
35,2005,146315.55000000002,147842.57,ELEC,200023125,CC Les Portes Briardes entre Villes et Forêts,RES
36,2005,38328.63,39371.34,PP_CMS,200023125,CC Les Portes Briardes entre Villes et Forêts,RES
37,2005,0.0,0.0,URB,200023125,CC Les Portes Briardes entre Villes et Forêts,RES
38,2005,31263.07,32307.28,BOIS,200023125,CC Les Portes Briardes entre Villes et Forêts,RES
39,2005,216552.93,222422.28999999998,GN,200023125,CC Les Portes Briardes entre Villes et Forêts,RES
40,2005,39305.18,39472.03,ELEC,200023125,CC Les Portes Briardes entre Villes et Forêts,TER
41,2005,11838.76,12131.94,PP_CMS,200023125,CC Les Portes Briardes entre Villes et Forêts,TER
42,2005,0.0,0.0,URB,200023125,CC Les Portes Briardes entre Villes et Forêts,TER
43,2005,0.0,0.0,BOIS,200023125,CC Les Portes Briardes entre Villes et Forêts,TER
44,2005,32217.35,33049.82,GN,200023125,CC Les Portes Briardes entre Villes et Forêts,TER
45,2005,0.0,0.0,ELEC,200023125,CC Les Portes Briardes entre Villes et Forêts,TRAF
46,2005,217637.43,217637.43,PP_CMS,200023125,CC Les Portes Briardes entre Villes et Forêts,TRAF
47,2005,0.0,0.0,URB,200023125,CC Les Portes Briardes entre Villes et Forêts,TRAF
48,2005,0.0,0.0,BOIS,200023125,CC Les Portes Briardes entre Villes et Forêts,TRAF
49,2005,0.0,0.0,GN,200023125,CC Les Portes Briardes entre Villes et Forêts,TRAF
50,2005,1248.65,1248.65,ELEC,200023240,CC Pays de Nemours,AGR
51,2005,12377.65,12377.65,PP_CMS,200023240,CC Pays de Nemours,AGR
52,2005,0.0,0.0,URB,200023240,CC Pays de Nemours,AGR
53,2005,0.0,0.0,BOIS,200023240,CC Pays de Nemours,AGR
54,2005,445.56,445.56,GN,200023240,CC Pays de Nemours,AGR
55,2005,162916.27,162916.27,ELEC,200023240,CC Pays de Nemours,IND
56,2005,5226.3,5226.3,PP_CMS,200023240,CC Pays de Nemours,IND
57,2005,989.84,989.84,URB,200023240,CC Pays de Nemours,IND
58,2005,0.0,0.0,BOIS,200023240,CC Pays de Nemours,IND
59,2005,216920.62,216920.62,GN,200023240,CC Pays de Nemours,IND
60,2005,92682.66,93504.44000000002,ELEC,200023240,CC Pays de Nemours,RES
61,2005,64363.93000000001,66251.14000000001,PP_CMS,200023240,CC Pays de Nemours,RES
62,2005,1185.59,1216.22,URB,200023240,CC Pays de Nemours,RES
63,2005,30385.960000000003,31400.890000000003,BOIS,200023240,CC Pays de Nemours,RES
64,2005,126213.34,129573.3,GN,200023240,CC Pays de Nemours,RES
65,2005,39972.28,40145.829999999994,ELEC,200023240,CC Pays de Nemours,TER
66,2005,10370.349999999999,10620.019999999999,PP_CMS,200023240,CC Pays de Nemours,TER
67,2005,9671.42,9919.02,URB,200023240,CC Pays de Nemours,TER
68,2005,0.0,0.0,BOIS,200023240,CC Pays de Nemours,TER
69,2005,55474.23,56876.48,GN,200023240,CC Pays de Nemours,TER
70,2005,0.0,0.0,ELEC,200023240,CC Pays de Nemours,TRAF
71,2005,280230.69,280230.69,PP_CMS,200023240,CC Pays de Nemours,TRAF
72,2005,0.0,0.0,URB,200023240,CC Pays de Nemours,TRAF
73,2005,0.0,0.0,BOIS,200023240,CC Pays de Nemours,TRAF
74,2005,0.0,0.0,GN,200023240,CC Pays de Nemours,TRAF
75,2005,4106.07,4106.07,ELEC,200023919,CC Gâtinais Val de Loing,AGR
76,2005,22317.02,22317.02,PP_CMS,200023919,CC Gâtinais Val de Loing,AGR
77,2005,0.0,0.0,URB,200023919,CC Gâtinais Val de Loing,AGR
78,2005,0.0,0.0,BOIS,200023919,CC Gâtinais Val de Loing,AGR
79,2005,0.0,0.0,GN,200023919,CC Gâtinais Val de Loing,AGR
80,2005,22391.66,22391.66,ELEC,200023919,CC Gâtinais Val de Loing,IND
81,2005,9497.7,9497.7,PP_CMS,200023919,CC Gâtinais Val de Loing,IND
82,2005,0.0,0.0,URB,200023919,CC Gâtinais Val de Loing,IND
83,2005,1500.33,1500.33,BOIS,200023919,CC Gâtinais Val de Loing,IND
84,2005,188588.64,188588.64,GN,200023919,CC Gâtinais Val de Loing,IND
85,2005,68209.51,68844.88,ELEC,200023919,CC Gâtinais Val de Loing,RES
86,2005,69739.18000000001,71836.36,PP_CMS,200023919,CC Gâtinais Val de Loing,RES
87,2005,0.0,0.0,URB,200023919,CC Gâtinais Val de Loing,RES
88,2005,27809.37,28738.239999999998,BOIS,200023919,CC Gâtinais Val de Loing,RES
89,2005,42881.71000000001,44006.95,GN,200023919,CC Gâtinais Val de Loing,RES
90,2005,11513.43,11563.47,ELEC,200023919,CC Gâtinais Val de Loing,TER
91,2005,3829.2700000000004,3921.5299999999997,PP_CMS,200023919,CC Gâtinais Val de Loing,TER
92,2005,0.0,0.0,URB,200023919,CC Gâtinais Val de Loing,TER
93,2005,0.0,0.0,BOIS,200023919,CC Gâtinais Val de Loing,TER
94,2005,6677.17,6841.39,GN,200023919,CC Gâtinais Val de Loing,TER
95,2005,0.0,0.0,ELEC,200023919,CC Gâtinais Val de Loing,TRAF
96,2005,243458.88999999998,243458.88999999998,PP_CMS,200023919,CC Gâtinais Val de Loing,TRAF
