DATE,CODE INSEE,REGION,PRODUCTION,POMPAGE,ECHANGE,CONSOMMATION
2019-01,53,Bretagne,420398,5489,-2149254,2564163
2019-01,84,Auvergne-Rhône-Alpes,12002408,313392,4078380,7610637
2019-01,94,Corse,168156,,-90520,258676
2019-02,11,Ile-de-France,422408,,-6214630,6637038
2019-02,24,Centre-Val de Loire,7991720,,6173372,1818348
2019-02,28,Normandie,5124362,,2512338,2612024
2019-02,32,Hauts-de-France,5274607,,725174,4549433
2019-02,52,Pays de la Loire,563414,,-2003610,2567024
2019-02,75,Nouvelle-Aquitaine,5370476,,1350245,4020231
2019-02,76,Occitanie,2734504,131834,-1021526,3624196
2019-03,28,Normandie,5983988,,3385943,2598046
2019-03,53,Bretagne,539276,4031,-1576933,2112177
2019-03,84,Auvergne-Rhône-Alpes,10417085,367559,3990349,6059178
2019-04,24,Centre-Val de Loire,6822822,,5339893,1482929
2019-04,53,Bretagne,242077,4661,-1614584,1852000
2019-04,94,Corse,145679,,-41108,186787
2019-05,24,Centre-Val de Loire,6629208,,5260176,1369032
2019-05,53,Bretagne,219301,5803,-1417882,1631380
2019-06,32,Hauts-de-France,2900802,,-611820,3512622
2019-06,76,Occitanie,2658294,194869,-75947,2539372
2019-06,84,Auvergne-Rhône-Alpes,9845687,295192,4927936,4622559
2019-07,11,Ile-de-France,153377,,-4599742,4753119
2019-07,24,Centre-Val de Loire,5413821,,4060891,1352930
2019-07,94,Corse,145030,,-60195,205225
2019-08,27,Bourgogne-Franche-Comté,200529,2657,-1113755,1311627
2019-08,52,Pays de la Loire,395590,,-1341015,1736604
2019-08,84,Auvergne-Rhône-Alpes,9061802,274210,4427956,4359635
2019-09,53,Bretagne,280369,5422,-1206439,1481386
2019-09,76,Occitanie,2526425,111882,-177536,2592079
2019-09,84,Auvergne-Rhône-Alpes,8452236,330439,3590242,4531555
2019-10,11,Ile-de-France,192673,,-5356579,5549252
2019-10,76,Occitanie,1984112,43307,-742719,2683525
2019-11,27,Bourgogne-Franche-Comté,426766,3248,-1513456,1936973
2019-11,28,Normandie,3273029,,643849,2629180
2019-11,75,Nouvelle-Aquitaine,5175742,,1019673,4156070
2019-11,76,Occitanie,2719739,151640,-941559,3509659
2019-12,44,Grand-Est,11411287,92584,6839343,4479360
2019-12,52,Pays de la Loire,744476,,-2072450,2816926
2014-01,76,Occitanie,3517535,212978,-526755,3831312
2014-01,94,Corse,149048,,-93695,242743
2014-02,24,Centre-Val de Loire,7353234,,5516163,1837071
2014-02,52,Pays de la Loire,366855,,-2251706,2618561
2014-03,28,Normandie,5183245,,2651041,2532204
2014-03,53,Bretagne,264676,3759,-1823457,2084374
2014-04,32,Hauts-de-France,2436458,,-1589423,4025881
2014-04,94,Corse,129598,,-27273,156871
2014-05,32,Hauts-de-France,2940006,,-1015385,3955391
2014-05,52,Pays de la Loire,338848,,-1581262,1920110
2014-05,76,Occitanie,2500203,236422,-263079,2526860
2014-06,24,Centre-Val de Loire,6035382,,4800869,1234513
2014-06,28,Normandie,6237021,,4392931,1844090
2014-06,44,Grand-Est,7289264,93119,3920146,3275999
2014-06,93,Provence-Alpes-Côte d'Azur,1042258,7948,-1866967,2901277
2014-07,27,Bourgogne-Franche-Comté,152717,169,-1346878,1499426
2014-07,32,Hauts-de-France,2837100,,-903597,3740697
2014-07,44,Grand-Est,8924945,112906,5465870,3346169
2014-07,75,Nouvelle-Aquitaine,3973700,,850091,3123609
2014-09,27,Bourgogne-Franche-Comté,135906,155,-1344829,1480580
2014-09,84,Auvergne-Rhône-Alpes,9236418,311051,4209168,4716199
2014-10,44,Grand-Est,8992862,109027,5142097,3741738
2014-11,27,Bourgogne-Franche-Comté,196873,237,-1611144,1807780
2014-11,44,Grand-Est,10023394,87083,5925110,4011201
2014-11,52,Pays de la Loire,657957,,-1620211,2278168
2014-12,24,Centre-Val de Loire,8745438,,6635798,2109640
2014-12,32,Hauts-de-France,4885620,,-266226,5151846
2015-01,44,Grand-Est,11030994,114483,6145961,4770550
2015-01,76,Occitanie,3322990,194763,-1091043,4219270
2015-02,28,Normandie,6472963,,3648301,2824662
2015-02,32,Hauts-de-France,4933153,,-43117,4976270
2015-02,94,Corse,148587,,-79701,228288
2015-03,28,Normandie,7003699,,4290574,2713125
2015-03,84,Auvergne-Rhône-Alpes,11430607,356702,4747008,6326897
2015-04,24,Centre-Val de Loire,6245721,,4807229,1438492
2015-04,52,Pays de la Loire,227114,,-1847604,2074718
2015-04,76,Occitanie,3165502,17274,461870,2686358
2015-05,11,Ile-de-France,96057,,-5059107,5155164
2015-05,44,Grand-Est,8188062,123992,4706358,3357712
2015-05,52,Pays de la Loire,175935,,-1696780,1872715
2015-05,75,Nouvelle-Aquitaine,2872493,,-87420,2959913
2015-05,93,Provence-Alpes-Côte d'Azur,1193104,1,-1642995,2836098
2015-06,94,Corse,104732,,-48702,153434
2015-07,44,Grand-Est,9832187,108743,6421070,3302374
2015-07,52,Pays de la Loire,166845,,-1729246,1896091
2015-07,75,Nouvelle-Aquitaine,2927424,,-350752,3278176
2015-07,94,Corse,149517,,-52205,201722
2015-08,11,Ile-de-France,110445,,-4326824,4437269
2015-09,84,Auvergne-Rhône-Alpes,8018418,247432,2973610,4797376
2015-09,94,Corse,111229,,-44117,155346
2015-11,11,Ile-de-France,464453,,-5787980,6252433
2015-12,24,Centre-Val de Loire,8196875,,6395368,1801507
2015-12,94,Corse,130257,,-85450,215707
2016-01,27,Bourgogne-Franche-Comté,330384,1413,-1905944,2234914
2016-01,44,Grand-Est,11304565,115852,6447585,4741128
2016-01,11,Ile-de-France,478801,,-7319843,7798645
2016-02,84,Auvergne-Rhône-Alpes,11716711,349745,4884931,6482035
2016-02,28,Normandie,6271410,,3506814,2764596
2016-02,52,Pays de la Loire,683953,,-1997591,2681544
2016-03,27,Bourgogne-Franche-Comté,326525,1701,-1791430,2116253
2016-03,53,Bretagne,398552,4425,-1902477,2296605
2016-03,24,Centre-Val de Loire,7852784,,5946519,1906265
2016-04,11,Ile-de-France,130923,,-5819338,5950260
2016-04,28,Normandie,4759797,,2322534,2437263
2016-04,93,Provence-Alpes-Côte d'Azur,1749922,4,-1341891,3091809
2016-05,27,Bourgogne-Franche-Comté,238171,213,-1360554,1598512
2016-05,24,Centre-Val de Loire,5971652,,4655182,1316470
2016-05,94,Corse,113163,,-41423,154586
2016-05,44,Grand-Est,8016797,99370,4439213,3478214
2016-05,75,Nouvelle-Aquitaine,4132107,,1041009,3091098
2016-05,52,Pays de la Loire,172134,,-1768588,1940721
2016-06,84,Auvergne-Rhône-Alpes,8617772,266777,3676567,4674428
2016-06,27,Bourgogne-Franche-Comté,225354,235,-1271035,1496154
2016-06,53,Bretagne,151365,4681,-1311426,1458110
2016-06,75,Nouvelle-Aquitaine,4242816,,1327851,2914966
2016-07,84,Auvergne-Rhône-Alpes,8179385,231536,3131978,4815871
2016-07,32,Hauts-de-France,3308840,,-280690,3589530
2016-07,75,Nouvelle-Aquitaine,4031815,,844194,3187621
