secteur,annee,insee,commune,emission
Agriculture,2005,75101,Paris 1er Arrondissement,0
Agriculture,2005,75102,Paris 2e Arrondissement,0
Agriculture,2005,75103,Paris 3e Arrondissement,0
Agriculture,2005,75104,Paris 4e Arrondissement,0
Agriculture,2005,75105,Paris 5e Arrondissement,0.1
Agriculture,2005,75106,Paris 6e Arrondissement,0.1
Agriculture,2005,75107,Paris 7e Arrondissement,0.2
Agriculture,2005,75108,Paris 8e Arrondissement,0.2
Agriculture,2005,75110,Paris 10e Arrondissement,0
Agriculture,2005,75111,Paris 11e Arrondissement,0
Agriculture,2005,75112,Paris 12e Arrondissement,0.2
Agriculture,2005,75114,Paris 14e Arrondissement,0
Agriculture,2005,75115,Paris 15e Arrondissement,0.5
Agriculture,2005,75116,Paris 16e Arrondissement,0.2
Agriculture,2005,75117,Paris 17e Arrondissement,0.1
Agriculture,2005,75118,Paris 18e Arrondissement,0
Agriculture,2005,75119,Paris 19e Arrondissement,0.1
Agriculture,2005,77001,Achères-la-Forêt,0.6
Agriculture,2005,77002,Amillis,3.3
Agriculture,2005,77003,Amponville,0.9
Agriculture,2005,77004,Andrezel,2
Agriculture,2005,77005,Annet-sur-Marne,0.2
Agriculture,2005,77006,Arbonne-la-Forêt,0.5
Agriculture,2005,77007,Argentières,0.3
Agriculture,2005,77008,Armentières-en-Brie,0.2
Agriculture,2005,77009,Arville,1.1
Agriculture,2005,77010,Aubepierre-Ozouer-le-Repos,3.5
Agriculture,2005,77011,Aufferville,1.7
Agriculture,2005,77012,Augers-en-Brie,2.1
Agriculture,2005,77013,Aulnoy,2.2
Agriculture,2005,77014,Avon,0
Agriculture,2005,77015,Baby,0.6
Agriculture,2005,77016,Bagneaux-sur-Loing,0
Agriculture,2005,77018,Bailly-Romainvilliers,0.2
Agriculture,2005,77019,Balloy,0.6
Agriculture,2005,77020,Bannost-Villegagnon,2.8
Agriculture,2005,77021,Barbey,0.2
Agriculture,2005,77022,Barbizon,0.2
Agriculture,2005,77023,Barcy,1.1
Agriculture,2005,77024,Bassevelle,3.7
Agriculture,2005,77025,Bazoches-lès-Bray,1.9
Agriculture,2005,77026,Beauchery-Saint-Martin,4.3
Agriculture,2005,77027,Beaumont-du-Gâtinais,2.5
Agriculture,2005,77029,Beauvoir,0.2
Agriculture,2005,77030,Bellot,1.2
Agriculture,2005,77031,Bernay-Vilbert,1
Agriculture,2005,77032,Beton-Bazoches,2
Agriculture,2005,77033,Bezalles,0.8
Agriculture,2005,77034,Blandy,0.7
Agriculture,2005,77035,Blennes,2
Agriculture,2005,77036,Boisdon,0.2
Agriculture,2005,77037,Bois-le-Roi,0
Agriculture,2005,77040,Boissise-le-Roi,0.3
Agriculture,2005,77041,Boissy-aux-Cailles,1.8
Agriculture,2005,77042,Boissy-le-Châtel,1.3
Agriculture,2005,77043,Boitron,0.1
Agriculture,2005,77044,Bombon,0.7
Agriculture,2005,77045,Bougligny,1.6
Agriculture,2005,77046,Boulancourt,0.2
Agriculture,2005,77047,Bouleurs,1.4
Agriculture,2005,77048,Bourron-Marlotte,0.3
Agriculture,2005,77049,Boutigny,1.6
Agriculture,2005,77050,Bransles,0.3
Agriculture,2005,77051,Bray-sur-Seine,0.1
Agriculture,2005,77052,Bréau,0
Agriculture,2005,77053,Brie-Comte-Robert,1.9
Agriculture,2005,77054,La Brosse-Montceaux,1.3
Agriculture,2005,77055,Brou-sur-Chantereine,0
Agriculture,2005,77056,Burcy,0.5
Agriculture,2005,77057,Bussières,0.8
Agriculture,2005,77058,Bussy-Saint-Georges,0.1
Agriculture,2005,77059,Bussy-Saint-Martin,0
Agriculture,2005,77060,Buthiers,0.9
Agriculture,2005,77061,Cannes-Écluse,0.4
Agriculture,2005,77062,Carnetin,0
Agriculture,2005,77063,La Celle-sur-Morin,0.4
Agriculture,2005,77065,Cély,0.2
Agriculture,2005,77066,Cerneux,0
Agriculture,2005,77067,Cesson,0.2
Agriculture,2005,77068,Cessoy-en-Montois,0.2
Agriculture,2005,77069,Chailly-en-Bière,3.8
Agriculture,2005,77070,Chailly-en-Brie,2.2
Agriculture,2005,77071,Chaintreaux,3.2
Agriculture,2005,77072,Chalautre-la-Grande,1.9
Agriculture,2005,77073,Chalautre-la-Petite,0.2
