insee,com,annee,autres_btinf36_nb,autres_btinf36_puis,autres_btinf36_prod,autres_btsup36_nb,autres_btsup36_puis,autres_btsup36_prod,autres_hta_nb,autres_hta_puis,autres_hta_prod,bionrj_btinf36_nb,bionrj_btinf36_puis,bionrj_btinf36_prod,bionrj_btsup36_nb,bionrj_btsup36_puis,bionrj_btsup36_prod,bionrj_hta_nb,bionrj_hta_puis,bionrj_hta_prod,coge_btinf36_nb,coge_btinf36_puis,coge_btinf36_prod,coge_btsup36_nb,coge_btsup36_puis,coge_btsup36_prod,coge_hta_nb,coge_hta_puis,coge_hta_prod,eol_btinf36_nb,eol_btinf36_puis,eol_btinf36_prod,eol_btsup36_nb,eol_btsup36_puis,eol_btsup36_prod,eol_hta_nb,eol_hta_puis,eol_hta_prod,hyd_btinf36_nb,hyd_btinf36_puis,hyd_btinf36_prod,hyd_btsup36_nb,hyd_btsup36_puis,hyd_btsup36_prod,hyd_hta_nb,hyd_hta_puis,hyd_hta_prod,pv_btinf36_nb,pv_btinf36_puis,pv_btinf36_prod,pv_btsup36_nb,pv_btsup36_puis,pv_btsup36_prod,pv_hta_nb,pv_hta_puis,pv_hta_prod,secret
77001,Achères-la-Forêt,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,7,0,0,1,82,9576,0,0,0,Photovoltaïque BTINF36
77002,Amillis,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,9,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77003,Amponville,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77004,Andrezel,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77005,Annet-sur-Marne,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,13,34,35429,0,0,0,0,0,0,
77006,Arbonne-la-Forêt,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77007,Argentières,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77008,Armentières-en-Brie,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,10,45,42625,1,120,130694,0,0,0,
77009,Arville,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,1,12000,20975573,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77010,Aubepierre-Ozouer-le-Repos,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,10,39,30569,1,85,41430,0,0,0,
77011,Aufferville,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77012,Augers-en-Brie,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77013,Aulnoy,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77014,Avon,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,8,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77015,Baby,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77016,Bagneaux-sur-Loing,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77018,Bailly-Romainvilliers,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,28,81,66284,0,0,0,0,0,0,
77019,Balloy,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77020,Bannost-Villegagnon,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,7,0,0,1,69,89628,0,0,0,Photovoltaïque BTINF36
77021,Barbey,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77022,Barbizon,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77023,Barcy,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77024,Bassevelle,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77025,Bazoches-lès-Bray,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,6,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77026,Beauchery-Saint-Martin,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,1,95,115236,0,0,0,Photovoltaïque BTINF36
77027,Beaumont-du-Gâtinais,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77029,Beauvoir,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77030,Bellot,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77031,Bernay-Vilbert,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77032,Beton-Bazoches,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,0,0,2,170,124859,0,0,0,Photovoltaïque BTINF36
77033,Bezalles,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77034,Blandy,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77035,Blennes,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,0,0,1,60,63598,0,0,0,Photovoltaïque BTINF36
77036,Boisdon,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77037,Bois-le-Roi,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,14,41,28199,0,0,0,0,0,0,
77038,Boissettes,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77039,Boissise-la-Bertrand,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77040,Boissise-le-Roi,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,16,45,42045,0,0,0,0,0,0,
77041,Boissy-aux-Cailles,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,1,96,110538,0,0,0,Photovoltaïque BTINF36
77042,Boissy-le-Châtel,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,32,91,77604,0,0,0,0,0,0,
77043,Boitron,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77044,Bombon,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77045,Bougligny,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,7,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77046,Boulancourt,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,0,0,1,156,141888,0,0,0,Photovoltaïque BTINF36
77047,Bouleurs,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,16,40,61989,0,0,0,0,0,0,
77048,Bourron-Marlotte,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,6,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77049,Boutigny,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,11,41,36129,1,99,91886,0,0,0,
77050,Bransles,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77051,Bray-sur-Seine,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,0,0,1,41,44845,0,0,0,Photovoltaïque BTINF36
77052,Bréau,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77053,Brie-Comte-Robert,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,29,92,76643,0,0,0,0,0,0,
77054,La Brosse-Montceaux,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77055,Brou-sur-Chantereine,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77056,Burcy,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
77057,Bussières,2017,0,0,0,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,Photovoltaïque BTINF36
